ID, JOKE
"9xL899pLRnyXDZxXVjDpwg","Chuck Norris doesn't take out the garbage. Garbage knows enough to get the hell out of Chuck's house."
"tQxmsNvxQpyYktNUCKysRQ","Some people are lactose intolerant. Dairy is Chuck Norris intolerant."
"Vqwf3gunQC2V6JBgsl0eNQ","When Christopher Columbus first reached the Americas Chuck Norris greeted him with a big ole Texas BBQ."
"ALSp4SlnTbuOEG-YVGPAxQ","Chuck Norris doesn't push the envelope. He wipes his ass with it."
"O0316s2nRiCwqudhsGt-cg","Chuck Norris just returned home this morning from a martial arts demonstration in Yemen."
"R55uzYlySNGawd5gdctDvw","Four score and seven years ago... Chuck Norris drank a barrel of mead and roundhouse kicked the shit outta some mutton chop-wearing assholes."
"qVMK4RvYRCeyuLyd6S-CQA","Child: Dad? Father: Yes son? Child: How come there's no jokes about Chuck Norris? Father: Because Chuck Norris is no joke."
"WPUuVmPjQ-GesRaYVvZuIQ","Chuck Norris' grandfather presented him with an alarm clock on his 7th birthday. Chuck Norris roundhouse kicked and broke the clock into a million pieces. Nothing alarms Chuck Norris. Btw Chuck Norris' grandfather is also Chuck Norris."
"AJ2j8jUHS7-kuqIh6yVJLQ","Chuck Norris' turban can hold a Glock and twelve grenades."
"6-koUjV_RSO3gvm_SMB00A","The Avengers Assemble - Chuck Norris Dissemble."
"og4cu6e3teuwvlhnezj37w","Chuck Norris doesn't use web standards as the web will conform to him."
"KnbxbRqoSuWQ4F4beTIOEA","I think, therefor, Chuck Norris let me exist"
"uuyvAY9ZTtSnXpiQAMyYVQ","Martin Luther King may have had a dream, but Chuck Norris had a body count."
"TM0fZLHPRmC-JixuklrchQ","Chuck Norris never has to rake leaves off his lawn. No tree that wants to continue to live dares shed its leaves on the property of Chuck Norris."
"f5_lY13cSPCfkIYFC6DXdg","Chuck Norris once jumped over fifty-eight burning school buses on a penny-farthing bicycle and landed on Evel Kenevel."
"4KEhlkfLR9eOt4zq-KFFrA","Chuck Norris changes the weather with his moods."
"wxXcAtBySsS4q_GYmUHjPQ","Chuck Norris. Thats all im gonna say."
"9jwcfXRmRr-lfzYCrZzMhQ","Chuck Norris Does not use Total Gym, Total Gym uses Chuck Norris, But then again No one Uses Chuck Norris So Chuck Norris Uses ToTal Gym!"
"uamb3jvvrowwedzmfio_qq","Chuck Norris uses 8'x10' sheets of plywood as toilet paper."
"xIECmtXDR3-DGlNGXn7gHg","Chuck Norris' buisness cards simply say: 'Look at me.' You will then be staring down the barrel of a twelve-guage."
"oc7fjUBoS1yD6KerLebm-Q","A rogue squirrel once challenged Chuck Norris to a nut hunt around the park. Before beginning, Chuck simply dropped his pants, instantly killing the squirrel and 3 small children. Chuck knows you can't find bigger, better nuts than that."
"d0WjKV-cQEuqxTjmQggQsg","Chuck Norris kicked the bucket-and lived."
"_hUws9ynRVG1HGEkGDN8gQ","Chuck Norris action figures have been banned in the United States and Mexico due to the roundhouse action related to eye loss in children."
"AudTjIHWRCq4Hg1drHxZ_w","lightening struck Chuck Norris... he struck back"
"yFXpfY2DSfaa8fDbbZBAYA","All men are born equal. Chuck Norris was just born more equal than everyone else."
"TQypxtUqQlqxqCwBYEJyuw","Chuck Norris' last name is in the android dictionary"
"HwlaiRoARXKO6gDkRaRKyQ","Chuck Norris was Maria Shriver's rebound guy. And he was totally cool with it."
"maUwvo0xQsqOi0mmAbbvOg","Chuck Norris can hit a giant meteor 1000 times bigger than jupiter out of the Universe with a toothpick."
"1HvBt1NCTgi5yThHwJ0bKw","If light is the fastest traveling element known, then Chuck Norris is not an element"
"6toAmCl5R9uWHXKrwiNGQQ","Q: How much wood could a woodchuck chuck if a woodchuck could Chuck Norris? A: All of it..."
"zizd83fGQ9iL6eM9VCNYCQ","Bill Clinton got Chuck Norris' sloppy seconds"
"tJM_81VKQImp1ie4ZT1PgA","Chuck Norris invented the Shotgun Enema."
"taPXIYRDTKCaEyqGQ6Rfjg","Chuck Norris doesn't wear sunscreen when he is in the sun. The Sun wears Chuck Norris Screen."
"dr_B4ZgNTxi5G8dz4pEtTQ","Chuck Norris once actually made it rain cats and dogs just so he could solve a mouse problem."
"xVMLr2cyTkmo-mnTVAHn7g","When there is a thunderstorm and you see lightning, Chuck Norris follows it with by clapping his hands, causing thunder. There is no Mother Nature, only Chuck Nature."
"ZzKI1YdNSVSBgnciagesFA","Chuck Norris once made a waterfall run backwards by sheer intimidation."
"H4fsRaxFT5uMdXLHHlcTCw","Chuck Norris. A man whose face alone is terrifying enough to make your chest hair commit suicide."
"6n2UzdT0SS6AnI3BfXgKmw","The odds of a Star Destroyer surviving a direct assault on Chuck Norris are approximately three thousand seven hundred and twenty to one."
"_oCRwevzRiy9fUhimmFatQ","The fatalities in Mortal Kombat are just reenactments of Chuck Norris going ape shit durring a traffic jam."
"8Tw9xEw9SzqU3E_fxazLRQ","Chuck Norris wishes you a Merry Christmas, a Happy Hannukah, and a Happy New Year... so you better have one!"
"Q4QOV09yQiuoQzEPOtybqg","When Barack Obama said \"Yes we can,\" he actually was referring to Chuck Norris"
"XlOd96phSqmh7sEAv5sexg","Chuck Norris was asked his opinion of the Democratic and Republican presidential candidates. Chuck said all of them are about as useless as zombie puke."
"OLeXh5xzSXiHt9-ydsDOfg","Chuck Norris gave Dr. House that limp. Needless to say, he was extremely lucky."
"dxxn0mrktb6-ewhec7bedq","In a recent survey it was discovered the 94% of American women lost their virginity to Chuck Norris. The other 6% were incredibly fat or ugly."
"h1-rK4W6RLiNz-XLgzj2jQ","All of Chuck Norris' limbs act as natural particle accelerators."
"cBxu2VjGS9ilMysEBGAzfw","Chuck Norris can dicieve his own mind!"
"fHWuCGyoSNCn1Tz2ZnfKqA","The marines need a few good men, so that Chuck Norris has someone to kill on the boat ride to do the mission solo."
"013U3baOR56lKNOSjlenrQ","Chuck Norris' penis sleeps in a seperate bed."
"KN3FvL55RC60tC1bDtI7sA","Most atheists agree that Chuck Norris is God's gift to mankind"
"FZ1eJ0U2TCKP3RxAo49TzA","Why do birds suddenly appear, every time Chuck Norris is near? Just like me, they long to be... close to Chuck"
"hdoWo7ZvT0K21cmqYNl94Q","On people magazine Justin Beiber said this about Chuck Norris \"Hes awsome if I met him hed probbaly round-house kick me in the face\" he joked"
"Zc9QJcwET_-SIRHlWOWMCQ","Chuck Norris once ate an entire wildebeest with a broken KFC spork."
"0RwPGw_tRKWblRTqfzEvNA","Chuck Norris was asked what he thought of Justin Bieber. Chuck said the thinks Bieber is a waste of good toilet paper."
"50Fl9NN3RLqSInYQVTR15g","Chuck Norris can make a hockey puck dissolve in his mouth in less than 15 seconds."
"bS8fHjpWRb6kfK0V5alMmg","Chuck Norris Plays paintball with Al Qaeda."
"imX7l_NGRoaGl2h9SRSGQA","Chuck Norris can slam revolving doors."
"4FzC21P8TkqUEBM5vVKd3A","Chuck Norris once did a woman so hard she had to change churches."
"JxEcfYAZQHu018k2YIX_zg","Chuck Norris changed the law of BODMAS to ROUNDHOUSE"
"FZwHelvfSg6nCQJbRqafjQ","A signed picture of Chuck Norris' last colonoscopy now fetches over twenty thousand US dollars on Ebay."
"ltZLfnpwS_i1sgF54XN8gg","Trinkle trinkle little star, how Chuck Norris knows where you are"
"wws_lXwUTI698GGhipHsbw","Tim Tebow can throw a football over 50 yards. Chuck Norris can throw Time Tebow even further."
"hkhxkqlitveah9w1k26u6w","Chuck Norris' testicles do not produce sperm. They produce tiny white ninjas that recognize only one mission: seek and destroy."
"R1u_ROyyS8KFKqrexX80eg","Chuck Norris can make you cry with his unbelievable armpit rendition of 'The Star Spangled Banner'."
"qUiNkzrCRwmK8EIbBzt_Ag","Chuck Norris put the I in IPhone with a real human eye"
"t13aj2VSTr6F2FiuzDYlbg","Chuck Norris knows exactly how many roundhouse kicks to your ass that it takes to make a poignant hemorrhoidal bouquet for you...one!"
"1SBG9myzQjWTK4almyY_3Q","Chuck Norris is the answer to all your problems."
"5XwJCii7TqaLvDIPdM5G6w","Chuck Norris' Christmas tree is simply Jesus' crucifix, complete with his skeleton, decorated with baubles, tinsel and lights."
"dmTPGBRqQ0ypn6pbn4pTMQ","Chuck Norris stole Clara's beef."
"Cs6UDEwkQkGkP7_9LCBpxw","Chuck Norris is, therefore you suck."
"3da7yJK2RVS9-JD8Rj17Ug","The Pope once tried to bless Chuck Norris. Nobody crosses Chuck Norris."
"xiTfRJfNQbaA_-jvUtP1Lw","The atomic bomb is actually made of a contained Chuck Norris fart."
"MODsqZwfRtiAEmeucHjh_w","When Chuck Norris watches Bubble Guppies, he gets pissed off and jumps into the TV and roundhouse kicks the motherf$&!ing sh*t out of them."
"szIa_gdFT8O7e4yG_E9ZVA","Chuck Norris watches the Watchmen."
"rwMIP6v0TcaK9iCMF1ovyQ","Chuck Norris can punch you in the eye through Google Glass."
"HzOC1SeNQSObaDNnH9yMjw","Q:why did the chicken try cross the road? A:to get away from Chuck Norris... and it never made it to the other side."
"7BtvfR3eSreN13GJ4-LsrA","Kirby can't swallow Chuck Norris, but Chuck Norris can swallow Kirby."
"3eudvPgFQX2dYCuOIUtFpA","After consuming four gallons of Captain Morgan Rum Chuck Norris was pulled over and ask to perform a field sobriety test. He did so while standing with (L)boot on empty 1/2 gal(R)boot touching bearded ass,head tilted back,fingers touching flaming nostrils and saying the alphabet back words in 23 foregin languages...while being taserd."
"68p06A4JTFaxwJD2vPlWYQ","Chuck Norris knows exactly how many licks it takes to reach the center of a tootsipop."
"SeCMmrO6SyacTp58ni71lw","Chuck Norris does not brush his teeth with a toothbrush and toothpaste. instead, he uses steel wool and hydrochloric acid."
"eUasNPEYRL64f7_XD4lJAw","Chuck Norris can take the square root of a negitive number on a calculator without an error sign apearing on the screen"
